game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,ret_num,sacks,tackles
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,1.0,1.0,,,,,,,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,,,,1.0,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,,,2.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,0.0,,,,,0.0,0.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,0.0,,,,,0.0,0.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,0.0,,,,,0.0,0.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,0.0,,,,,0.0,0.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,0.0,,,,,0.0,0.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,0.0,,,,,0.0,0.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,0.0,0.0,0.0,0.0,,0.0,0.0
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,,,0.0,0.0,0.0,,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,,0.0,5.0,1.0,,,
