game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,forced_fumbles,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,,438.0,,,,0.0,,,,,,16.0,7.0,9.0,14.0,9.0,75.0,1.0,1.0,63.0,60.0,6.0,,,,,,,8.0,18.0,7.0,0.0,1.0,59.0,,
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,,,,,,5.0,21.4,32.0,0.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_28_T573852G1127146@T566773,2026-03-28,2026,4,NAL,Louisiana Rouxgaroux,Amarillo Warbirds,,,,,,,,,,,,,,,,,,,,,,,26.0,45.0,0.0,1.0,52.0,2.0,6.0,6.0,1.0,0.0,1.0,6.0,,
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,2.0,,1.0,,,,2.0,10.5,22.0,0.0,21.0,,,,,,,,,,,,10.0,10.0,,0.0,10.0,1.0,,,,,,,1.0,3.0
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,4.0,13.8,31.0,0.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.0,0.0,17.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,,
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,0.0,,,1.0,1.0,,2.0,7.0,14.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,0.0,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,0.0,7.0,1.0,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,476.0,,,,1.0,,,,,,21.0,10.0,11.0,35.0,13.0,87.0,2.0,3.0,143.0,130.0,15.0,,,,,,,5.0,12.0,9.0,0.0,2.0,43.0,,
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,,,,,,,,,,,,,,,,,,,,,,,10.3,19.0,,0.0,31.0,3.0,,,,,,,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,,91.0,,,,4.0,,,,,,22.0,2.0,20.0,9.0,9.0,0.0,2.0,0.0,0.0,17.0,4.0,,,,,,,5.0,9.0,4.0,0.0,1.0,21.0,,
