game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,1.0,1.0,,,,,,,,19.0,9.0,14.0,1.0,30.0,87.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,,,,,,22.0,3.0,7.0,,3.0,43.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,,,,,,,39.0,6.0,9.0,2.0,17.0,100.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,,,5.0,7.0,1.0,21.0,105.0,,,,1.0,1.0,1.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,1.0,1.0,,,,,,,,24.0,3.0,7.0,,3.0,38.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,,,,16.0,7.0,12.0,1.0,36.0,62.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,,,,,,45.0,7.0,10.0,,27.0,109.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,,,,,,,40.0,4.0,5.0,,5.0,68.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,,,,,,,20.0,1.0,2.0,,,20.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,1.0,1.0,44.0,44.0,,,,26.0,8.0,11.0,,10.0,94.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,,,,10.0,4.0,8.0,,10.0,35.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,,,,5.0,9.0,1.0,20.0,77.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,,,,,,,,51.0,5.0,7.0,2.0,32.0,87.0,,,,1.0,12.0,12.0,,2.0,12.0,2.0
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,,43.0,6.0,10.0,,34.0,91.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,,,,,12.0,5.0,9.0,,5.0,47.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,,,6.0,8.0,1.0,12.0,83.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,,,,,,,35.0,8.0,8.0,1.0,23.0,90.0,1.0,1.0,1.0,1.0,-8.0,-8.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,1.0,1.0,,,,,,,,44.0,5.0,8.0,,12.0,88.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,,,,,13.0,5.0,7.0,,10.0,49.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,,,,,,,,,7.0,9.0,1.0,58.0,195.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,,,,,,,,32.0,2.0,6.0,1.0,6.0,45.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,,,30.0,3.0,6.0,,15.0,57.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,,,,,,15.0,6.0,10.0,,12.0,62.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,,,,,,0.0,71.0,7.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,,,,,,0.0,92.0,5.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_OTT,2022-07-16,2022,6,CFL,OTT,HAM,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_OTT,2022-07-21,2022,7,CFL,MTL,OTT,,,,,,,1.0,118.0,9.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_OTT,2022-07-31,2022,8,CFL,OTT,TOR,,,,,,,0.0,12.0,1.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_OTT,2022-08-05,2022,9,CFL,CGY,OTT,,,,,,,0.0,70.0,5.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_OTT,2022-08-19,2022,11,CFL,EDM,OTT,,,,,,,0.0,50.0,1.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W13_OTT,2022-09-02,2022,13,CFL,OTT,MTL,,,,,,,1.0,63.0,4.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W14_OTT,2022-09-10,2022,14,CFL,TOR,OTT,,,,,,,0.0,68.0,3.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W16_OTT,2022-09-24,2022,16,CFL,TOR,OTT,,,,,,,0.0,36.0,2.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_OTT,2022-09-30,2022,17,CFL,OTT,BC,,,,,,,0.0,62.0,3.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_OTT,2022-10-14,2022,19,CFL,MTL,OTT,,,,,,,0.0,9.0,2.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W20_OTT,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,0.0,32.0,3.0,,,,,,,,,,,,,,,,
