game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,1.0,6.0,7.0,1.0,1.0,7.0,,-3.0,54.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,,,6.0,5.0,1.0,1.0,5.0,,-4.0,54.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,2.0,2.0,,,2.0,,-4.0,-7.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,2.0,9.0,8.0,,,10.0,2.0,98.0,54.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,,2.0,3.0,2.0,1.0,1.0,2.0,,76.0,-7.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,1.0,1.0,8.0,7.0,1.0,,8.0,1.0,93.0,-15.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,4.0,3.0,1.0,,3.0,,35.0,19.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,2.0,1.0,,,1.0,,10.0,4.0
