game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,6.0,157.0,82.0,7.0,5.0,962.0,34.0,4.0,136.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,42.0,15.0,,,215.0,7.0,,42.0
