game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions_made,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,4.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,2.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,8.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,2.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,3.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,1.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,5.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,3.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,4.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,,,,,,,,,,,,,,7.0,7.0,0.0,0.0,7.0,1.0,7.0,18.0,3.0,0.0,1.0,20.0,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,,,,,,,,2.0,37.0,43.0,0.0,75.0,11.0,11.0,0.0,0.0,11.0,1.0,4.0,7.0,4.0,0.0,1.0,16.0,,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,,,,,,,,2.0,35.0,36.0,0.0,71.0,7.0,9.0,0.0,0.0,28.0,4.0,-1.0,5.0,2.0,0.0,0.0,-1.0,,,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,,,,,,,,4.0,16.0,18.0,0.0,67.0,15.0,31.0,0.0,1.0,74.0,5.0,4.0,4.0,1.0,0.0,0.0,4.0,,,,
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,,,,,,,,2.0,24.0,27.0,0.0,49.0,11.0,22.0,0.0,0.0,32.0,3.0,3.0,0.0,5.0,0.0,0.0,13.0,,,,
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0,7.0,0.0,7.0,17.0,35.0,0.0,1.0,51.0,3.0,3.0,4.0,4.0,0.0,0.0,10.0,0.0,0.0,,1.0
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,24.0,24.0,0.0,48.0,15.0,19.0,0.0,0.0,29.0,2.0,4.0,6.0,4.0,0.0,0.0,17.0,0.0,0.0,,2.0
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,6.0,8.0,0.0,13.0,7.0,10.0,0.0,0.0,27.0,4.0,8.0,29.0,8.0,0.0,1.0,61.0,0.0,0.0,,2.0
