game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_tds,kr_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rushing_tds,rushing_yards,sacks,tackles
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,,,,,,,,,,,,,,,,4.0,89.0,6.0,,,,,
KATS-FIREBIRDS-0329,2025-03-29,2025,3,AF1,ALBANY,NASHVILLE,,,,,,,,,,,,,,,,,2.0,55.0,5.0,,,,,
ALBANY-SALINA-0406,2025-04-06,2025,4,AF1,ALBANY,SALINA,,,,,,,,,,,,,,,,,5.0,115.0,7.0,,0.0,24.0,,
BILLINGS-ALBANY-0413,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,,,,,,,,,,,,,,,,,2.0,128.0,12.0,,,,,
BILLINGS-ALBANY-0420,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,,,,,,,,,,,,,,,,,2.0,104.0,6.0,,,,,
CORPUSCHRISTI-ALBANY-0425,2025-04-25,2025,7,AF1,CORPUS CHRISTI,ALBANY,,,,,,,,,,,,,,,,,3.0,48.0,4.0,,,,,
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,,,,,,,,,,,,,,,,,5.0,132.0,9.0,,,,,
ALBANY-NASHVILLE-0510,2025-05-10,2025,9,AF1,NASHVILLE,ALBANY,,,,,,,,,,,,,,,,,4.0,144.0,9.0,,,,,
CORPUSCHRISTI-ALBANY-0524,2025-05-24,2025,11,AF1,ALBANY,CORPUS CHRISTI,,,,,,,,,,,,,,,,,3.0,113.0,8.0,,,,,
WASHINGTON-ALBANY-0614,2025-06-14,2025,14,AF1,ALBANY,WASHINGTON,,,,,,,,,,,,,,,,,3.0,89.0,4.0,,,,,
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,,,,,,,,,,,,,,,,,2.0,98.0,8.0,,,,,
NASHVILLE-ALBANY-0628,2025-06-28,2025,16,AF1,ALBANY,NASHVILLE,,,,,,,,,,,,,,,,,1.0,45.0,4.0,,,,,
4002611070524,2026-05-02,2026,1,50 Yard,Albany Firebirds,Washington Wolfpack,,,,,,,,,,,,,,,,,2.0,64.0,,,,,,
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,,,,,,,,,,,,,8.0,13.0,0.0,0.0,2.0,31.0,4.0,,,,,
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,,,,,,,,,,,,,8.0,25.0,0.0,0.0,0.0,32.0,4.0,,,,,
SYNTHETIC_50YARD_2026_W2_ALBANYFIREBIRDS,2026-05-09,2026,2,50YARD,Kentucky Barrels,Albany Firebirds,,,,,,,,,,,,,,,,,1.0,94.0,8.0,,,,,
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,,,,,,,,,,,,,9.0,17.0,0.0,0.0,3.0,66.0,7.0,,,,,
SYNTHETIC_50YARD_2026_W3_ALBANYFIREBIRDS,2026-05-16,2026,3,50YARD,ALBANY FIREBIRDS,MICHIGAN ARSENAL,,,,,,,,,,,,,,,,,3.0,120.0,9.0,,,,,
FOOTBALL_AF1_2026_5_2_T584635G1168211@T584641,2026-05-02,2026,4,AF1,Albany Firebirds,Washington Wolfpack,,,,,,,,,,,,,16.0,29.0,0.0,0.0,2.0,64.0,4.0,,,,,
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,43.0,0.0,0.0,1.0,94.0,8.0,,,,0.0,1.0
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,-3.0,13.0,35.0,0.0,0.0,3.0,120.0,9.0,0.0,,,0.0,1.0
