game_id,date,season,week,league,away,home,1pt_conversion,conversions,pass_defended,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,,,50.0,4.0,,,,,1.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,,,,,41.0,3.0,1.0,11.0,,,2.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,,7.0,2.0,1.0,1.0,,,
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,,,,1.0,97.0,8.0,,,1.0,1.0,6.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,1.0,72.0,4.0,,,,,2.0
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,1.0,,,,,,,1.0,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,1.0,5.0,1.0,,,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,8.0,1.0,,,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,28.0,3.0,,,,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,6.0,1.0,,,,,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,105.0,4.0,,,,1.0,
SYNTHETIC_XFL_2023_W9_BRAHMAS,2023-04-15,2023,9,XFL,BRAHMAS,GUARDIANS,0.0,0.0,,,,,,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,,40.0,4.0,,,,,
