game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,0.0,30.0,0.0
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,,0.0,37.0,2.0
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,2.0,20.0,6.0
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,,2.0,13.0,2.0
6232,2022-07-16,2022,6,CFL,SSK,TOR,,1.0,30.0,0.0
6237,2022-07-24,2022,7,CFL,TOR,SSK,,1.0,31.0,3.0
6239,2022-07-29,2022,8,CFL,BC,SSK,,0.0,32.0,2.0
6249,2022-08-13,2022,10,CFL,SSK,EDM,,1.0,23.0,4.0
6251,2022-08-19,2022,11,CFL,BC,SSK,,2.0,28.0,1.0
6256,2022-08-26,2022,12,CFL,SSK,BC,,0.0,0.0,0.0
6259,2022-09-04,2022,13,CFL,WPG,SSK,,0.0,20.0,1.0
6264,2022-09-10,2022,14,CFL,SSK,WPG,,0.0,54.0,1.0
6266,2022-09-16,2022,15,CFL,EDM,SSK,,0.0,26.0,2.0
6272,2022-09-30,2022,17,CFL,SSK,WPG,,0.0,31.0,0.0
6276,2022-10-07,2022,18,CFL,SSK,HAM,,2.0,18.0,1.0
6287,2022-10-22,2022,20,CFL,CGY,SSK,,0.0,32.0,0.0
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,2.0,13.0,5.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,45.0,1.0
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,3.0,26.0,0.0
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,1.0,11.0,0.0
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,1.0,33.0,1.0
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,19.0,4.0
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,31.0,1.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,24.0,6.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,41.0,1.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,29.0,5.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,30.0,1.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,51.0,0.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,36.0,2.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,36.0,3.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,33.0,4.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,38.0,0.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,26.0,1.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,29.0,2.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,0.0,26.0,4.0
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,1.0,23.0,2.0
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,1.0,32.0,4.0
SYNTHETIC_CFL_2024_W4_SSK,,2024,4,CFL,,,,3.0,18.0,0.0
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,4.0,23.0,2.0
10798038,2024-07-13,2024,6,CFL,SSK,BC,,2.0,24.0,1.0
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,1.0,27.0,1.0
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,0.0,18.0,8.0
