game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_td,pr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,10.0,,,,,1.0,1.0,13.0,3.0,26.0,41.0,2.0,190.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,9.0,,,,,,,,4.0,68.0,80.0,3.0,352.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,9.0,6.0,1.0,128.0,,,,3.0,17.0,86.0,4.0,367.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,,,,,4.0,49.0,105.0,10.0,457.0
