game_id,date,season,week,league,away,home,catches,completions,drops,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-06-09-ATL-BOS,2023-06-09,2023,7,,ATL,BOS,4.0,4.0,,,1.0,4.0,-5.0,17.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,5.0,4.0,,1.0,1.0,4.0,58.0,14.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,,1.0,,,,,
