game_id,date,season,week,league,away,home,assists,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202405220SEA,2024-05-22,2024,1,WNBA,IND,SEA,,1.0,1.0,,1.0,,,2.65,1.0,-5.0,,2.0,,
WNBA_202405250SEA,2024-05-25,2024,1,WNBA,WAS,SEA,,2.0,,,,,1.0,3.5833333333333335,,6.0,,2.0,,
WNBA_202405300IND,2024-05-30,2024,1,WNBA,SEA,IND,,,1.0,,1.0,,3.0,4.75,,-12.0,,,,1.0
WNBA_202406040SEA,2024-06-04,2024,1,WNBA,PHO,SEA,,,,,,,,1.45,,-1.0,,,,
WNBA_202406090MIN,2024-06-09,2024,1,WNBA,SEA,MIN,,,,,,,,1.2,,-2.0,,,,
WNBA_202406110SEA,2024-06-11,2024,1,WNBA,LAS,SEA,1.0,,,,,,1.0,0.7,,1.0,,,,
WNBA_202406190LVA,2024-06-19,2024,1,WNBA,SEA,LVA,,,,,,,,0.8833333333333333,,2.0,,,,
WNBA_202406270SEA,2024-06-27,2024,1,WNBA,IND,SEA,,,,,,,,0.85,,-4.0,,,,
WNBA_202406290SEA,2024-06-29,2024,1,WNBA,DAL,SEA,,,,,,,1.0,2.8333333333333335,1.0,-1.0,,1.0,,
WNBA_202407010SEA,2024-07-01,2024,1,WNBA,DAL,SEA,,,1.0,,2.0,,,6.783333333333333,1.0,-6.0,,1.0,,1.0
WNBA_202407120SEA,2024-07-12,2024,1,WNBA,MIN,SEA,,,2.0,,2.0,,,5.833333333333333,,2.0,,,,1.0
WNBA_202407140SEA,2024-07-14,2024,1,WNBA,ATL,SEA,,,,,,,,1.5,,-2.0,,,,
WNBA_202408180IND,2024-08-18,2024,1,WNBA,SEA,IND,,,,,,,,1.2833333333333332,,1.0,,,,
WNBA_202409070SEA,2024-09-07,2024,1,WNBA,PHO,SEA,3.0,,1.0,,1.0,,,6.05,1.0,3.0,,1.0,1.0,1.0
WNBA_202409150SEA,2024-09-15,2024,1,WNBA,LAS,SEA,,,1.0,,2.0,,,2.25,1.0,-3.0,,1.0,,
WNBA_202409190PHO,2024-09-19,2024,1,WNBA,SEA,PHO,3.0,1.0,4.0,0.2,5.0,1.0,3.0,14.316666666666666,1.0,-5.0,2.0,2.0,1.0,
