game_id,date,season,week,league,away,home,extra_point,field_goal_yards,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,2.0,,0.0,0.0,0.0,1.0,0.0,0.0
SYNTHETIC_USFL_W6_PHI,,,6,USFL,,,5.0,,,,,,,
SYNTHETIC_USFL_W7_PHI,,,7,USFL,,,3.0,,0.0,0.0,3.0,1.0,0.0,0.0
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,5.0,,0.0,0.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_W9_PHI,,,9,USFL,,,2.0,,0.0,0.0,0.0,1.0,0.0,2.0
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,2.0,,0.0,0.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,1.0,,0.0,1.0,1.0,0.0,0.0,1.0
SYNTHETIC_USFL_2023_W1_STARS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,3.0,,,,,,,1.0
SYNTHETIC_USFL_2023_W2_STARS,2023-04-23,2023,2,USFL,STARS,PANTHERS,1.0,27.0,,,,,,1.0
SYNTHETIC_USFL_2023_W3_STARS,2023-04-30,2023,3,USFL,STARS,MAULERS,1.0,71.0,,,,,,
SYNTHETIC_USFL_2023_W4_STARS,2023-05-06,2023,4,USFL,STARS,GAMBLERS,1.0,42.0,,,,,,
SYNTHETIC_USFL_2023_W5_STARS,2023-05-14,2023,5,USFL,STARS,GENERALS,,338.0,,,,,,
SYNTHETIC_USFL_2023_W6_STARS,2023-05-21,2023,6,USFL,STARS,BREAKERS,1.0,76.0,,,,,,1.0
SYNTHETIC_USFL_2023_W7_STARS,2023-05-27,2023,7,USFL,MAULERS,STARS,4.0,113.0,,,,,,
SYNTHETIC_USFL_2023_W8_STARS,2023-06-03,2023,8,USFL,STALLIONS,STARS,3.0,25.0,,,,,,
SYNTHETIC_USFL_2023_W9_STARS,2023-06-11,2023,9,USFL,GENERALS,STARS,3.0,147.0,,,,,,
SYNTHETIC_USFL_2023_W10_STARS,2023-06-18,2023,10,USFL,PANTHERS,STARS,2.0,81.0,,,,,,1.0
