game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,,2.0,5.5,36.0,9.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,,1.0,1.0,16.0,10.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,2.0,,2.0,9.5,51.0,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,1.0,4.0,44.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,1.0,2.0,5.0,25.0,12.0
