game_id,date,season,week,league,away,home,fumbles,fumbles_lost,games_played,kick_returns,match_loss,match_played,match_win,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,team_points_against,team_points_for,total_yards,yards_per_game
FOOTBALL_NAL_2021_albany-empire_SEASON_TOTAL,2021-12-31,,0,,,ALBANY EMPIRE,0.0,0.0,18.0,5.0,,,,3.0,8.1,30.0,3.0,267.0,66.8,33.0,8.3,0.5,3.0,2.0,0.0,4.5,0.3,,,268.0,67.0
curling-curling-events-2026-9478-389169,2026-01-01,2026,1,CURLING-EVENTS,Denmark,Scotland,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,10.0,7.0,,
