game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,9.0,2.0,,25.0,76.0,3.0,394.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,9.0,4.0,1.0,23.0,120.0,7.0,693.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,11.0,,,,64.0,4.0,389.0
