game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,,44.0,5.0,8.0,,35.0,124.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,,,20.0,12.0,15.0,,16.0,129.0,,,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,26.0,7.0,12.0,1.0,11.0,103.0,,,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,,,,,10.0,1.0,1.0,,7.0,10.0,16.0,1.0,16.0,,,,,,,,,,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,,,,,,,,,,,16.0,1.0,16.0,,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,17.0,3.0,48.0,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,48.0,3.0,7.0,,8.0,60.0,3.0,1.0,3.0,2.0,10.0,,18.0,,,,,,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,,,,25.0,5.0,7.0,,18.0,53.0,,,,1.0,,1.0,18.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,,,,,31.0,5.0,6.0,,22.0,53.0,,,,2.0,12.0,,13.0,,,2.0,,4.0,,
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,,,,,,,48.0,7.0,8.0,,61.0,130.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,,,,15.0,3.0,4.0,1.0,17.0,30.0,20.0,1.0,20.0,4.0,14.0,,45.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,,,,,,,16.0,1.0,4.0,,,16.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,,,,,,,6.0,7.0,3.0,69.0,107.0,,,,1.0,5.0,,5.0,,,1.0,3.0,20.0,,3.0
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,1.0,1.0,1.0,,,,45.0,8.0,11.0,,59.0,121.0,,,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,,15.0,7.0,8.0,,20.0,49.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,,,,,,20.0,3.0,4.0,,3.0,18.0,,,,1.0,4.0,,4.0,,,,,,,
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,,,19.0,7.0,9.0,,32.0,46.0,-4.0,1.0,-4.0,5.0,23.0,,38.0,,,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,,,,,,38.0,8.0,10.0,,55.0,100.0,,,,5.0,9.0,,16.0,,,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,,,,,17.0,8.0,9.0,,36.0,55.0,,,,4.0,11.0,,14.0,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,,,15.0,7.0,12.0,,16.0,61.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,36.0,8.0,9.0,,37.0,114.0,,,,3.0,18.0,,34.0,,,,,,,
FOOTBALL_CFL_2019_9_20_HAM@EDM,2019-09-20,2019,1,CFL,HAM,EDM,,,,,,,,4.0,5.0,1.0,78.0,126.0,,,,4.0,11.0,,29.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,,,,44.0,4.0,6.0,1.0,26.0,90.0,,,,3.0,8.0,,6.0,,,,1.0,6.0,,1.0
