game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_yds,pat_att,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,7.0,3.0,,48.0,,,,,21.0,5.0,385.0,3.0,,14.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,11.0,25.0,,547.0,1.0,,,1.0,50.0,5.0,770.0,5.0,,48.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,10.0,11.0,2.0,420.0,10.0,2.0,6.0,,42.0,8.0,811.0,9.0,1.0,72.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,10.0,7.0,,198.0,1.0,1.0,52.0,,37.0,3.0,572.0,1.0,,2.0
