game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_tgt,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,4.0,,,61.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,9.0,5.0,,,46.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,2.0,,,46.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,2.0,,,22.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,1.0,1.0,1.0,25.0
