game_id,date,season,week,league,away,home,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,11.0,,,12.0,133.0,64.0,1.0,183.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,8.0,1.0,3.0,5.0,2.0,19.0,,46.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,9.0,,,4.0,10.0,65.0,,199.0
