game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,4.0,29.0,12.0,1.0,20.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,,18.0,10.0,,
