game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,4.0
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,1.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,0.0,0.0,6.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,0.0,0.0,4.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,0.0,0.0,3.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,0.0,0.0,3.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,0.0,0.0,3.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,0.0,0.0,1.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,0.0,0.0,4.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,0.0,0.0,3.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,0.0,0.0,3.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,6.0
