game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,39.0,8.0,9.0,1.0,52.0,178.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,40.0,8.0,10.0,1.0,45.0,133.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,14.0,4.0,7.0,,6.0,19.0,,,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,31.0,6.0,9.0,1.0,15.0,117.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,37.0,11.0,16.0,,29.0,111.0,26.0,5.0,54.0,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,14.0,3.0,4.0,,-3.0,25.0,,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,24.0,9.0,13.0,,20.0,113.0,,,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,30.0,7.0,11.0,,18.0,113.0,2.0,2.0,-8.0,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,37.0,6.0,8.0,1.0,14.0,106.0,,,,1.0,-4.0,-4.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,17.0,3.0,5.0,,2.0,27.0,18.0,5.0,45.0,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,41.0,5.0,6.0,1.0,44.0,114.0,18.0,1.0,18.0,,3.0,3.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,16.0,9.0,10.0,2.0,25.0,79.0,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,35.0,9.0,13.0,2.0,66.0,135.0,12.0,3.0,33.0,1.0,6.0,6.0,2.0,12.0,2.0
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,6.0,8.0,2.0,66.0,153.0,,,,,,,2.0,12.0,2.0
