game_id,date,season,week,league,away,home,def_ff,def_pd,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,7.0,2.0,24.0,,,3.0,20.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,2.0,11.0,,,2.0,16.0,7.0,8.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,1.0,6.0,,,,,1.0,2.0
