game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,3.0,7.0,2.0,1.0,22.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,5.0,18.0,6.0,,
