game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2024_W3_TOR,,2024,3,CFL,,,,,,0.0,14.0,1.0,,
SYNTHETIC_CFL_2024_W5_TOR,,2024,5,CFL,,,,,,0.0,14.0,1.0,0.0,16.0
SYNTHETIC_CFL_2024_W6_TOR,,2024,6,CFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W7_TOR,,2024,7,CFL,,,,,,0.0,13.0,2.0,,
SYNTHETIC_CFL_2024_W8_TOR,,2024,8,CFL,,,,,,0.0,9.0,3.0,,
SYNTHETIC_CFL_2024_W12_TOR,,2024,12,CFL,,,,,,0.0,9.0,1.0,0.0,6.0
SYNTHETIC_CFL_2024_W14_TOR,,2024,14,CFL,,,,,,0.0,-7.0,1.0,,
SYNTHETIC_CFL_2024_W15_TOR,,2024,15,CFL,,,,,,,,,0.0,9.0
SYNTHETIC_CFL_2025_W7_TOR,,2025,7,CFL,,,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2025_W8_TOR,,2025,8,CFL,,,0.0,0.0,41.0,,,,0.0,1.0
SYNTHETIC_CFL_2025_W10_TOR,,2025,10,CFL,,,,,,0.0,10.0,2.0,,
SYNTHETIC_CFL_2025_W11_TOR,,2025,11,CFL,,,,,,,,,0.0,2.0
SYNTHETIC_CFL_2025_W12_TOR,,2025,12,CFL,,,,,,0.0,-5.0,1.0,,
