game_id,date,season,week,league,away,home,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,lost_fumbles
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,,6.0,6.0,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,9.0,9.0,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,4.0,4.0,,,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,1.0,5.0,5.0,,5.0,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,,,2.0,2.0,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,2.0,2.0,,,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,4.0,4.0,,,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,,,,3.0,3.0,,,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,,,,3.0,3.0,,,
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,,,7.0,7.0,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,6.0,6.0,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,2.0,2.0,,,
FOOTBALL_CFL_2019_9_20_HAM@EDM,2019-09-20,2019,1,CFL,HAM,EDM,1.0,19.0,,9.0,9.0,19.0,,
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,1.0,7.0,7.0,,6.0,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,1.0,1.0,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,4.0,4.0,,,
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,,,,,,,0.0
