game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_OTT,,,1,CFL,,,,0.0,2.0,1.0,0.0,12.0,,
SYNTHETIC_CFL_W7_OTT,,,7,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_W8_OTT,,,8,CFL,,,,0.0,13.0,2.0,0.0,31.0,,
SYNTHETIC_CFL_W9_OTT,,,9,CFL,,,,0.0,3.0,1.0,0.0,30.0,,
SYNTHETIC_CFL_W11_OTT,,,11,CFL,,,,0.0,26.0,2.0,0.0,-3.0,,
SYNTHETIC_CFL_W17_OTT,,,17,CFL,,,,0.0,6.0,1.0,,,,
SYNTHETIC_CFL_W19_OTT,,,19,CFL,,,,0.0,11.0,4.0,0.0,55.0,,
SYNTHETIC_CFL_W20_OTT,,,20,CFL,,,,,,,0.0,63.0,,
SYNTHETIC_CFL_2023_W1_OTT,,2023,1,CFL,,,,0.0,6.0,1.0,0.0,4.0,,
SYNTHETIC_CFL_2023_W2_OTT,,2023,2,CFL,,,,,,,0.0,3.0,,
SYNTHETIC_CFL_2023_W4_OTT,,2023,4,CFL,,,,0.0,24.0,2.0,0.0,44.0,,
SYNTHETIC_CFL_2023_W5_OTT,,2023,5,CFL,,,,,,,0.0,15.0,,
SYNTHETIC_CFL_2023_W6_OTT,,2023,6,CFL,,,,,,,0.0,9.0,,
SYNTHETIC_CFL_2023_W9_OTT,,2023,9,CFL,,,,0.0,0.0,0.0,0.0,31.0,,
SYNTHETIC_CFL_2023_W10_OTT,,2023,10,CFL,,,,1.0,11.0,1.0,0.0,3.0,,
SYNTHETIC_CFL_2023_W11_OTT,,2023,11,CFL,,,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
SYNTHETIC_CFL_2023_W12_OTT,,2023,12,CFL,,,0.0,0.0,10.0,1.0,,,0.0,0.0
