game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,1.0,29.0,2.0,13.0,-2.0,11.0,5.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,2.0,2.0,3.0,31.0,3.0,18.0,2.0
