game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,10.0,1.0,5.0,1.0,28.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,12.0,,48.0,4.0,533.0,1.0
