game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,3.0,3.0,10.0,57.0,1812.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,12.0,17.0,559.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,7.0,21.0,685.0,
