game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,7.0,1.0,,22.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,13.0,1.0,142.0
