game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,1.0,,8.0,8.0,,1.0,8.0,14.0,80.0
2023-05-05-SLC-POR,2023-05-05,2023,2,,SLC,POR,,1.0,4.0,7.0,,,7.0,18.0,-14.0
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,,,,,,1.0,,,
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,1.0,,6.0,6.0,,,6.0,43.0,40.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,,,3.0,3.0,,,3.0,9.0,-3.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,,4.0,4.0,,1.0,4.0,2.0,34.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,,2.0,2.0,,,2.0,12.0,15.0
2023-06-30-SLC-LA,2023-06-30,2023,10,,SLC,LA,1.0,1.0,7.0,7.0,,3.0,7.0,105.0,6.0
2023-07-01-SLC-SD,2023-07-01,2023,10,,SLC,SD,,,,,1.0,,,,
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,1.0,,7.0,6.0,2.0,,6.0,26.0,-1.0
