game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,,12.0,,,1.0,1.0,13.0,44.0,1535.0,10.0,2.0,102.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,,,12.0,,,,,,,,23.0,2.0,230.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,1.0,12.0,6.0,5.0,,,,3.0,57.0,11.0,2.0,135.0,
