game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,44.0,3.0,543.0,26.0,17.0,2.0,147.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,48.0,4.0,654.0,13.0,12.0,1.0,87.0
