game_id,date,season,week,league,away,home,interceptions_made,tackles
SYNTHETIC_CFL_2023_W1_SSK,,2023,1,CFL,,,,2.0
SYNTHETIC_CFL_2023_W2_SSK,,2023,2,CFL,,,,5.0
SYNTHETIC_CFL_2023_W3_SSK,,2023,3,CFL,,,1.0,5.0
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,,4.0
