game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,1.0,1.0,11.0,8.0,8.0,,23.0,66.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,21.0,15.0,16.0,,30.0,130.0,16.0,1.0,1.0,51.0,1.0,16.0,1.0,,2.0,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,12.0,8.0,13.0,,7.0,67.0,,,,,,,,,,
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,7.0,8.0,1.0,17.0,99.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,13.0,2.0,2.0,,17.0,18.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,13.0,7.0,9.0,,19.0,57.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,,6.0,9.0,2.0,10.0,80.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,1.0,1.0,32.0,7.0,8.0,1.0,11.0,89.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,8.0,4.0,6.0,,6.0,24.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,4.0,5.0,1.0,28.0,77.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,15.0,6.0,6.0,,19.0,53.0,43.0,1.0,1.0,,,43.0,,,,
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,12.0,7.0,13.0,,20.0,60.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,7.0,2.0,2.0,,1.0,13.0,39.0,1.0,1.0,,,39.0,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,31.0,4.0,4.0,,12.0,65.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,26.0,9.0,14.0,,44.0,113.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,25.0,5.0,5.0,,1.0,48.0,,,,,,,1.0,,2.0,
