game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,,,,,,,,25.0,4.0,,70.0,3.0,20.0,,30.0,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,,,21.0,4.0,,75.0,1.0,2.0,,2.0,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,,10.0,1.0,1.0,10.0,10.0,35.0,6.0,,155.0,,,,,,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,37.0,3.0,3.0,61.0,64.0,12.0,1.0,,12.0,1.0,-1.0,,-1.0,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,,,,14.0,1.0,2.0,11.0,14.0,,,,,16.0,,3.0,156.0,,18.0,3.0,3.0
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,,,,,22.0,4.0,,67.0,1.0,2.0,,2.0,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,2.0,,,23.0,3.0,,60.0,,,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,,22.0,4.0,,81.0,3.0,12.0,,29.0,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,,,1.0,,,21.0,3.0,,39.0,3.0,5.0,,2.0,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,,,,,,,27.0,3.0,,64.0,,,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,,,,,,26.0,4.0,,88.0,1.0,8.0,,8.0,,,,
