game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,16.0,12.0,18.0,8.0,34.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,12.0,13.0,15.0,2.0,27.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,28.0,17.0,26.0,17.0,54.0,3.0,5.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,18.0,15.0,20.0,6.0,38.0,3.0,2.0,2.0
