game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,5.0,6.0,2.0,,40.0,,1.0,11.0,16.0,3.0,238.0,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,2.0,2.0,,61.0,,,,5.0,1.0,189.0,2.0,,28.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,12.0,,,,,1.0,51.0,26.0,4.0,288.0,14.0,,82.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,9.0,3.0,1.0,160.0,1.0,,,12.0,,129.0,78.0,1.0,387.0
