game_id,date,season,week,league,away,home,blocks,d_points,o_points,plus_minus,touches
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,14.0,3.0,,4.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,1.0,12.0,7.0,1.0,13.0
