game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,5.0,1.0,21.0,,,15.0,,63.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,11.0,,,1.0,11.0,63.0,4.0,459.0
