game_id,date,season,week,league,away,home,assisted_tackles,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,,,,,0.0,34.0,3.0,,
FOOTBALL_IFL_2026_5_24_TNEWMEXICOCHUPACABRASG20260524HN6I@TORLANDOPIRATES,2026-05-24,2026,,IFL,New Mexico Chupacabras,Orlando Pirates,3.0,,,,,,,1.0,4.0
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,14.0,24.0,0.0,0.0,54.0,4.0,,
