game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,events_played,goals,hockeyAssists,hucksCompleted,pdga_points,pdga_rating,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
DGPT_2019_SEASON_TOTAL,,,1,,,,,,,,,5.0,,,,587.0,959.0,,,,,
SYNTHETIC_AUDL_W1_WINDCHILL,,,1,AUDL,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W2_WINDCHILL,,,2,AUDL,,,2.0,0.0,,,1.0,,1.0,,,,,,,1.0,55.0,290.0
SYNTHETIC_AUDL_W3_WINDCHILL,,,3,AUDL,,,0.0,0.0,,,0.0,,0.0,,,,,,,1.0,33.0,292.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,,2.0,,0.0,,,,,,,3.0,37.0,260.0
2022-07-01-MIN-CHI,2022-07-01,2022,6,,MIN,CHI,3.0,0.0,,,0.0,,0.0,,,,,,,5.0,88.0,264.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,3.0,2.0,,,0.0,,1.0,,,,,,,2.0,71.0,420.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,AUDL,windchill,radicals,1.0,0.0,,,0.0,,0.0,,,,,,,2.0,41.0,255.0
2022-07-16-CHI-MIN,2022-07-16,2022,8,AUDL,union,windchill,1.0,0.0,,,0.0,,1.0,,,,,,,1.0,64.0,401.0
2022-07-23-MIN-IND,2022-07-23,2022,9,AUDL,windchill,alleycats,4.0,0.0,,,0.0,,1.0,,,,,,,1.0,130.0,742.0
2022-07-31-DET-MIN,2022-07-31,2022,10,AUDL,mechanix,windchill,2.0,0.0,,,1.0,,0.0,,,,,,,0.0,-2.0,242.0
2023-04-29-DC-CAR,2023-04-29,2023,1,AUDL,DC BREEZE,CAROLINA FLYERS,,,29.0,35.0,,,,1.0,,,,1.0,37.0,2.0,-1.0,227.0
2023-05-07-PHI-DC,2023-05-07,2023,2,AUDL,PHILADELPHIA PHOENIX,DC BREEZE,,,18.0,22.0,,,,2.0,1.0,,,,23.0,,49.0,149.0
2023-05-13-NY-DC,2023-05-13,2023,3,AUDL,NEW YORK EMPIRE,DC BREEZE,2.0,,52.0,56.0,,,,,,,,,56.0,,-32.0,296.0
2023-05-20-DC-TOR,2023-05-20,2023,4,AUDL,DC BREEZE,TORONTO RUSH,,,28.0,34.0,,,1.0,6.0,,,,,35.0,1.0,65.0,222.0
2023-06-02-CAR-DC,2023-06-02,2023,6,AUDL,CAROLINA FLYERS,DC BREEZE,1.0,,43.0,50.0,,,1.0,3.0,,,,,52.0,2.0,100.0,373.0
2023-06-16-MTL-DC,2023-06-16,2023,8,AUDL,MONTREAL ROYAL,DC BREEZE,1.0,,21.0,26.0,,,,2.0,,,,,26.0,,80.0,134.0
2023-06-23-DC-MTL,2023-06-23,2023,9,AUDL,DC BREEZE,MONTREAL ROYAL,,,47.0,58.0,,,,1.0,,,,,58.0,,72.0,302.0
2023-06-24-DC-BOS,2023-06-24,2023,9,AUDL,DC BREEZE,BOSTON GLORY,4.0,,,,,,,,,,,,,,,
2023-06-30-DC-NY,2023-06-30,2023,10,AUDL,DC BREEZE,NEW YORK EMPIRE,1.0,,38.0,45.0,,,1.0,1.0,,,,,46.0,1.0,116.0,355.0
2023-07-08-BOS-DC,2023-07-08,2023,11,AUDL,BOSTON GLORY,DC BREEZE,4.0,,48.0,55.0,,,2.0,2.0,,,,,56.0,1.0,123.0,416.0
2023-07-15-DC-PHI,2023-07-15,2023,12,AUDL,DC BREEZE,PHILADELPHIA PHOENIX,3.0,,32.0,36.0,,,,1.0,,,,,38.0,2.0,113.0,216.0
2023-07-21-TOR-DC,2023-07-21,2023,13,AUDL,TORONTO RUSH,DC BREEZE,4.0,1.0,29.0,40.0,,,,3.0,1.0,,,,40.0,,121.0,392.0
2024-04-27-DC-SLC,2024-04-27,2024,1,UFA,breeze,shred,2.0,0.0,,,1.0,,0.0,,,,,,,0.0,147.0,259.0
2024-05-05-DC-PHI,2024-05-05,2024,2,UFA,breeze,phoenix,1.0,0.0,,,0.0,,1.0,,,,,,,0.0,45.0,52.0
2024-05-10-BOS-DC,2024-05-10,2024,3,UFA,glory,breeze,0.0,0.0,,,0.0,,0.0,,,,,,,2.0,30.0,283.0
2024-05-18-PHI-DC,2024-05-18,2024,4,UFA,phoenix,breeze,4.0,0.0,,,0.0,,0.0,,,,,,,3.0,109.0,518.0
2024-05-31-TOR-DC,2024-05-31,2024,6,UFA,rush,breeze,0.0,0.0,,,0.0,,1.0,,,,,,,2.0,78.0,326.0
2024-06-02-DC-BOS,2024-06-02,2024,6,UFA,breeze,glory,2.0,0.0,,,0.0,,0.0,,,,,,,1.0,66.0,198.0
2024-06-08-NY-DC,2024-06-08,2024,7,UFA,empire,breeze,0.0,0.0,,,0.0,,1.0,,,,,,,2.0,99.0,148.0
2024-06-15-DC-TOR,2024-06-15,2024,8,UFA,breeze,rush,0.0,0.0,,,0.0,,1.0,,,,,,,1.0,75.0,310.0
2024-06-16-DC-MTL,2024-06-16,2024,8,UFA,breeze,royal,3.0,0.0,,,0.0,,1.0,,,,,,,0.0,126.0,631.0
2024-06-22-MTL-DC,2024-06-22,2024,9,UFA,royal,breeze,1.0,0.0,,,1.0,,0.0,,,,,,,1.0,86.0,212.0
2024-06-28-CAR-DC,2024-06-28,2024,10,UFA,flyers,breeze,0.0,0.0,,,0.0,,0.0,,,,,,,1.0,124.0,126.0
2024-07-20-DC-NY,2024-07-20,2024,13,UFA,breeze,empire,1.0,0.0,,,0.0,,2.0,,,,,,,2.0,114.0,185.0
2025-04-26-PHI-DC,2025-04-26,2025,1,UFA,phoenix,breeze,1.0,0.0,,,0.0,,0.0,,,,,,,1.0,16.0,218.0
2025-05-03-TOR-DC,2025-05-03,2025,2,UFA,rush,breeze,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0
2025-05-10-DC-CAR,2025-05-10,2025,3,UFA,breeze,flyers,1.0,0.0,,,0.0,,3.0,,,,,,,0.0,70.0,347.0
2025-05-18-BOS-DC,2025-05-18,2025,4,UFA,glory,breeze,0.0,0.0,,,1.0,,1.0,,,,,,,0.0,85.0,36.0
2025-05-30-DC-TOR,2025-05-30,2025,6,UFA,breeze,rush,4.0,0.0,,,0.0,,1.0,,,,,,,0.0,131.0,424.0
2025-05-31-DC-MTL,2025-05-31,2025,6,UFA,breeze,royal,1.0,0.0,,,0.0,,1.0,,,,,,,3.0,68.0,301.0
2025-06-06-NY-DC,2025-06-06,2025,7,UFA,empire,breeze,2.0,1.0,,,0.0,,0.0,,,,,,,1.0,-75.0,323.0
2025-06-14-DC-NY,2025-06-14,2025,8,UFA,breeze,empire,2.0,0.0,,,0.0,,1.0,,,,,,,2.0,21.0,542.0
2025-06-27-MTL-DC,2025-06-27,2025,10,UFA,royal,breeze,0.0,0.0,,,0.0,,2.0,,,,,,,1.0,-6.0,202.0
2025-07-06-DC-BOS,2025-07-06,2025,11,UFA,breeze,glory,3.0,0.0,,,0.0,,2.0,,,,,,,2.0,166.0,232.0
2025-07-12-BOS-DC,2025-07-12,2025,12,UFA,glory,breeze,4.0,0.0,,,0.0,,1.0,,,,,,,0.0,165.0,320.0
2025-07-19-DC-PHI,2025-07-19,2025,13,UFA,breeze,phoenix,1.0,0.0,,,0.0,,2.0,,,,,,,1.0,161.0,490.0
2026-04-25-DC-BOS,2026-04-25,2026,1,UFA,breeze,glory,1.0,0.0,,,0.0,,2.0,,,,,,,1.0,117.0,334.0
