game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,5.5,51.0,10.0,1.0,36.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,3.0,4.0,55.0,8.0,,
