game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,6.0,11.0,1.0,4.0,67.0,6.0,1.0,6.0,1.0,3.0,3.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,1.0,1.0,16.0,5.0,8.0,,34.0,52.0,23.0,1.0,23.0,,,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,20.0,6.0,11.0,,23.0,69.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,14.0,5.0,8.0,,19.0,51.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,2.0,2.0,,5.0,7.0,1.0,58.0,92.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,51.0,4.0,7.0,,18.0,95.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,24.0,4.0,6.0,2.0,6.0,58.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,43.0,4.0,8.0,,47.0,67.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,18.0,4.0,7.0,,21.0,45.0,4.0,1.0,4.0,,,,,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,25.0,7.0,10.0,,41.0,101.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,42.0,2.0,3.0,,19.0,48.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,1.0,1.0,28.0,6.0,7.0,1.0,1.0,63.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,27.0,5.0,7.0,,22.0,78.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,25.0,9.0,12.0,1.0,42.0,114.0,,,,3.0,9.0,22.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,16.0,1.0,4.0,,2.0,16.0,,1.0,,1.0,19.0,19.0,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,17.0,1.0,1.0,,1.0,17.0,5.0,1.0,5.0,,,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,20.0,3.0,6.0,,7.0,43.0,,,,1.0,10.0,10.0,,,,
