game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_sack,def_solo,def_tot,def_ydsl,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_forced,misc_tot,sacks,solo_tackles,tackles
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,1.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,2.0,2.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_2_16_ARI@MEM,2019-02-16,2019,1,CFL,ARI,MEM,,,2.0,3.0,3.0,20.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_10_SA@ARI,2019-03-10,2019,1,CFL,SA,ARI,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_16_ARI@ORL,2019-03-16,2019,1,CFL,ARI,ORL,,,,1.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_3_31_ARI@SA,2019-03-31,2019,1,CFL,ARI,SA,,2.0,0.5,,2.0,6.5,,,,,,,,,,,1.0,1.0,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,1.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,1.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,3.0,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,2.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,,,,,,,,,,,,,,,0.5,,1.0
