game_id,date,season,week,league,away,home,blocks,catches,completions,drops,goals,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,,2.0,2.0,1.0,,,2.0,,41.0,-5.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,1.0,9.0,9.0,,1.0,1.0,10.0,1.0,49.0,77.0
2023-07-21-MTL-BOS,2023-07-21,2023,13,,MTL,BOS,,2.0,2.0,,,,2.0,,18.0,
