game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,7.0,2.0,,11.0,,,,18.0,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,1.0,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,2.0,1.0,,13.0,6.0,1.0,,13.0,,,,,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,2.0,1.0,,16.0,,,,16.0,,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,3.0,1.0,1.0,15.0,,,,15.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,42.0,25.0,2.0,41.0,11.0,2.0,1.0,322.0,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,44.0,26.0,5.0,,5.0,1.0,1.0,303.0,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,14.0,7.0,2.0,10.0,,,,41.0,3.0,5.0,,13.0,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,29.0,18.0,1.0,43.0,6.0,1.0,,194.0,1.0,14.0,,14.0,,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,32.0,23.0,3.0,29.0,29.0,5.0,1.0,233.0,2.0,6.0,,9.0,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,22.0,12.0,1.0,15.0,18.0,2.0,2.0,88.0,,,,,,,
FOOTBALL_CFL_2019_9_20_HAM@EDM,2019-09-20,2019,1,CFL,HAM,EDM,,,36.0,22.0,3.0,,13.0,3.0,2.0,223.0,6.0,5.0,1.0,15.0,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,28.0,19.0,,51.0,11.0,2.0,1.0,223.0,5.0,8.0,1.0,17.0,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,28.0,21.0,1.0,27.0,23.0,3.0,,242.0,4.0,2.0,1.0,5.0,6.0,1.0,1.0
