game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pat_att,pat_made,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,10.0,1.0,19.0,4.0,2.0,30.0,1174.0,25.0,4.0,260.0,1.0,3.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,,,33.0,1336.0,10.0,1.0,194.0,1.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,,,1.0,,57.0,2400.0,3.0,,56.0,1.0,28.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,,,,,23.0,823.0,2.0,,20.0,,
