game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,51.0,3.0,,,,,,,,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,0.0,,,,,,,,,,,,,,,,,,,,21.5,27.0,,1.0,86.0,4.0,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,,,,,0.0,,,,,,1.0,1.0,15.0,0.0,15.0,8.0,8.0,,0.0,8.0,1.0,,,,,,,,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,,,,,,,,,,,,,,,,,,,,,11.7,25.0,,2.0,82.0,7.0,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,,,,,,,,,,,,,,,,,,,,8.7,12.0,,2.0,26.0,3.0,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,0.0,10.0,2.0,,,,,,,,,
FOOTBALL_IFL_2026_5_29_TSANANTONIOGUNSLINGERSG20260529P6HJ@TGREENBAYBLIZZARD,2026-05-29,2026,12,IFL,San Antonio Gunslingers,Green Bay Blizzard,,,,,,,,,,,,,,,,,,,,,33.0,33.0,,1.0,33.0,1.0,3.0,3.0,1.0,0.0,3.0,,,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,,,,,,,,,,,,,,,,,,,,,8.4,21.0,,2.0,59.0,7.0,,,,,,,,,
FOOTBALL_IFL_2026_6_27_TSANANTONIOGUNSLINGERSG2026062743BQ@TVEGASKNIGHTHAWKS,2026-06-27,2026,16,IFL,San Antonio Gunslingers,Vegas Knight Hawks,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,
FOOTBALL_IFL_2026_7_11_TORLANDOPIRATESG20260711VSBZ@TSANANTONIOGUNSLINGERS,2026-07-11,2026,18,IFL,Orlando Pirates,San Antonio Gunslingers,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,14.7,34.0,,3.0,88.0,6.0,,,,,,,,,
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,,,,,,,,1.0,0.0,,,,,,,,,,,,8.8,12.0,,0.0,35.0,4.0,3.0,3.0,1.0,0.0,3.0,,,,
