game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,16.0,97.0,23.0,16.0,94.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,8.0,1.0,23.0,4.0,8.0,7.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,14.0,1.0,6.0,5.0,14.0,20.0
