game_id,date,season,week,league,away,home,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards
TRITONS-LIBERTY-0328,2025-03-28,2025,3,AF1,SALINA,CORPUS CHRISTI,,,,,,1.0,63.0,6.0,,,,,
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,,,,,,2.0,46.0,8.0,,,,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,20.0,1.0,,,,,
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,1.0,8.0,8.0,0.0,8.0,,,,1.0,1.0,1.0,0.0,1.0
FOOTBALL_IFL_2026_6_20_TIOWABARNSTORMERSG20260620EY76@TFISHERSFREIGHT,2026-06-20,2026,15,IFL,Iowa Barnstormers,Fishers Freight,1.0,21.0,21.0,0.0,21.0,,,,3.0,3.0,1.0,0.0,3.0
