game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,1.0,,29.0,2.0
SYNTHETIC_USFL_2023_W2_GAMBLERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,0.0,38.0,1.0
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,1.0,1.0,26.0,2.0
SYNTHETIC_USFL_2023_W4_GAMBLERS,2023-05-06,2023,4,USFL,STARS,GAMBLERS,,1.0,16.0,6.0
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,1.0,,20.0,1.0
SYNTHETIC_USFL_2023_W6_GAMBLERS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,,1.0,10.0,2.0
SYNTHETIC_USFL_2023_W7_GAMBLERS,2023-05-28,2023,7,USFL,SHOWBOATS,GAMBLERS,1.0,1.0,23.0,1.0
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,0.0,19.0,2.0
SYNTHETIC_USFL_2023_W9_GAMBLERS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,2.0,1.0,32.0,0.0
SYNTHETIC_USFL_2023_W10_GAMBLERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,0.0,17.0,2.0
