game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,7.0,,,,,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,,,,,,,,,,,,,,,,3.0,,,2.0,2.0,1.0,3.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,7.0,,,,,,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,,,,,,,,,,,,9.0,1.0,2.0,4.0,9.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,16.0,2.0,2.0,5.0,24.0,3.0,3.0,1.0,6.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,1.0,,,,,,,,,,,10.0,4.0,5.0,11.0,36.0,6.0,,2.0,10.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,,,,,,,,,,,,18.0,1.0,3.0,12.0,18.0,5.0,2.0,1.0,6.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,7.0,5.0,18.0,4.0,1.0,50.0,,,,,,46.0,2.0,2.0,2.0,61.0,3.0,17.0,,26.0,,,,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,,,,,,,,20.0,1.0,1.0,3.0,20.0,2.0,2.0,,4.0,,,,,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,,,,,,,,,,,,26.0,1.0,3.0,,26.0,7.0,2.0,1.0,8.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,,,,,,,,,,,,,,,,21.0,2.0,6.0,11.0,28.0,1.0,21.0,,21.0,,,,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,,,,,,,,,,,,16.0,1.0,3.0,2.0,16.0,1.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,,7.0,,,,1.0,2.0,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,8.0,1.0,3.0,5.0,8.0,6.0,3.0,,10.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,,,,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,,,,,,,,,,,,0.0,24.0,2.0,,,,,,,,,,1.0,6.0,,,,,,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,,,,,,,,,,,,0.0,18.0,1.0,,,,,,,,,,1.0,6.0,,,,,,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,,,0.0,,,,,,,,0.0,50.0,0.0,61.0,2.0,,,,,,,,,,0.0,26.0,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,0.0,,,,,,,,0.0,0.0,0.0,36.0,4.0,,,,,,,,,,2.0,10.0,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,,,,,,,,,,,0.0,16.0,1.0,,,,,,,,,,0.0,1.0,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,,,,,,,,,,0.0,20.0,1.0,,,,,,,,,,0.0,4.0,,,,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,,,,,,,,,,,,0.0,26.0,1.0,,,,,,,,,,1.0,8.0,,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,3.0,,,,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.0,,,,,,
9889312,2023-07-29,2023,8,CFL,BC,EDM,,,,,,,,,,,,,1.0,91.0,2.0,,,,,,,,,,0.0,2.0,,,,,,
SYNTHETIC_CFL_2023_W9_EDM,,2023,9,CFL,,,,,,,,,,,,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,
