game_id,date,season,week,league,away,home,4pt_fg,extra_point,field_goal_yards,missed
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,1.0,,60.0,1.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,5.0,92.0,
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,1.0,5.0,144.0,
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,2.0,162.0,
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,6.0,47.0,2.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,3.0,56.0,1.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,1.0,,1.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,,3.0,51.0,
119,2026-05-22,2026,9,UFL,DC DEFENDERS,ORLANDO STORM,,1.0,169.0,1.0
