game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,1.0,1.0,60.0,2.0,,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,0.0,0.0,0.0,,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,0.0,12.0,1.0,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,0.0,6.0,1.0,,
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,0.0,0.0,0.0,,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,2.0,1.0,64.0,4.0,,
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,0.0,33.0,4.0,,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,0.0,19.0,4.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,0.0,73.0,7.0,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,0.0,29.0,3.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,1.0,0.0,14.0,2.0,,
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,0.0,67.0,3.0,,
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,0.0,14.0,2.0,,
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,0.0,8.0,1.0,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,0.0,30.0,4.0,,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,0.0,0.0,0.0,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,0.0,53.0,5.0,,
87,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,0.0,60.0,2.0,,
95,2026-04-10,2026,3,UFL,ORLANDO STORM,LOUISVILLE KINGS,,0.0,114.0,7.0,,
99,2026-04-16,2026,4,UFL,LOUISVILLE KINGS,HOUSTON GAMBLERS,,0.0,31.0,5.0,,
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,0.0,6.0,1.0,,
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,0.0,62.0,4.0,,
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,,1.0,92.0,5.0,0.0,0.0
