game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,3.0,3.0,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,1.0,1.0,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,6.0,6.0,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,1.0,1.0,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,1.0,1.0,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,2.0,2.0,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,,2.0,2.0,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,4.0,4.0,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,1.0,4.0,4.0,1.0
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,7.0,7.0,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,4.0,4.0,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,4.0,4.0,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,1.0,,2.0,2.0,
