game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,11.0,3.0,1.0,,27.0,,,,9.0,57.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,6.0,,,,,,14.0,1.0,149.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,1.0,1.0,,1.0,17.0,4.0,,63.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,,,5.0,2.0,82.0,2.0,
