game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,tackles
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,,,,3.0,2.0,2.0,,4.0,,,,1.0,2.0,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,2.0,1.0,1.0,2.0,2.0,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,4.0,1.0,1.0,4.0,4.0,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,1.0,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,,12.0,1.0,1.0,12.0,12.0,,,,,,
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,,,0.0,5.0,1.0,,,,,,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,0.0,10.0,1.0,,,,,,,,,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,0.0,6.0,1.0,,,,,,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,0.0,14.0,1.0,,,,,,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,0.0,0.0,13.0,1.0,,,,,,,,0.0,,,0.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,0.0,0.0,2.0,1.0,,,,,,,,0.0,,,0.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,,,,,,0.0,4.0,,,,
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,25.0,1.0,,,,,,,,0.0,,,0.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,0.0,,,,,,,,,,,0.0,,,0.0
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,0.0,0.0,0.0,,,,,,,,,,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,,,0.0,4.0,1.0,,,,,,,,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,,0.0,4.0,1.0,,,,,,,,,,,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,,0.0,5.0,1.0,,,,,,,,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,0.0,-1.0,1.0,,,,,,0.0,9.0,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,0.0,10.0,1.0,,,,,,,,,,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,,0.0,0.0,0.0,,,,,,0.0,3.0,,,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,0.0,6.0,1.0,,,,,,,,,,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,,,0.0,0.0,0.0,,,,,,,,,,,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,,,0.0,0.0,0.0,,,,,,,,,,,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,,,0.0,27.0,2.0,,,,,,,,,,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,,,0.0,10.0,1.0,,,,,,,,,,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,,,,0.0,15.0,1.0,,,,,,,,,,,
11824105,2025-09-20,2025,16,CFL,WPG,OTT,,,,,7.0,1.0,,,,,,,,,,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,,0.0,16.0,1.0,,,,,,,,,,,
11824120,2025-10-18,2025,20,CFL,MTL,OTT,,,,0.0,15.0,1.0,,,,,,,,,,,
