game_id,date,season,week,league,away,home,assists,blk,blocks,cto,drops,goals,interceptions_made,lb,lost_fumbles,pim,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,sog,tackles,throwaways,to,yardsReceived,yardsThrown
703328545,,,1,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,
SYNTHETIC_AUDL_W1_RADICALS,,,1,AUDL,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,,IND,MAD,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,,CHI,MAD,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0
SYNTHETIC_CFL_2023_W1_EDM,,2023,1,CFL,,,,,,,,,,,,,0.0,17.0,1.0,0.0,21.0,,,,,,,
SYNTHETIC_CFL_2023_W2_EDM,,2023,2,CFL,,,,,,,,,,,1.0,,0.0,18.0,2.0,0.0,41.0,,,,,,,
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,,,,,,,,,,,1.0,17.0,2.0,0.0,16.0,,,,,,,
