game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,2.0,8.0,1.0,84.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,5.0,5.0,,90.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,1.0,1.0,,5.0
