game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,38.0,4.0,,
SYNTHETIC_XFL_2023_W2_RENEGADES,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,1.0,,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,1.0,39.0,5.0,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,45.0,4.0,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,7.0,1.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,25.0,3.0,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,52.0,4.0,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,63.0,6.0,,
SYNTHETIC_XFL_2023_W9_RENEGADES,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,0.0,1.0,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,33.0,4.0,,
SYNTHETIC_UFL_2024_W1_RENEGADES,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,0.0,15.0,3.0,,
SYNTHETIC_UFL_2024_W2_RENEGADES,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,1.0,1.0,0.0,58.0,5.0,,
SYNTHETIC_UFL_2024_W3_RENEGADES,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,1.0,109.0,9.0,,
SYNTHETIC_UFL_2024_W4_RENEGADES,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,0.0,12.0,1.0,,
SYNTHETIC_UFL_2024_W5_RENEGADES,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,0.0,45.0,5.0,,
SYNTHETIC_UFL_2024_W6_RENEGADES,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,0.0,28.0,4.0,,
SYNTHETIC_UFL_2024_W7_RENEGADES,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,0.0,0.0,41.0,4.0,,
SYNTHETIC_UFL_2024_W8_RENEGADES,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,0.0,75.0,6.0,,
SYNTHETIC_UFL_2024_W9_RENEGADES,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,,0.0,36.0,3.0,,
SYNTHETIC_UFL_2024_W10_RENEGADES,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,1.0,2.0,84.0,5.0,,
SYNTHETIC_UFL_2025_W1_RENEGADES,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,0.0,28.0,3.0,,
SYNTHETIC_UFL_2025_W2_RENEGADES,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,0.0,14.0,1.0,,
SYNTHETIC_UFL_2025_W3_RENEGADES,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,0.0,40.0,5.0,,
SYNTHETIC_UFL_2025_W4_RENEGADES,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,1.0,0.0,22.0,3.0,,
SYNTHETIC_UFL_2025_W5_RENEGADES,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,0.0,56.0,5.0,,
SYNTHETIC_UFL_2025_W6_RENEGADES,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W7_RENEGADES,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,1.0,127.0,9.0,0.0,-5.0
SYNTHETIC_UFL_2025_W8_RENEGADES,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,1.0,2.0,51.0,3.0,,
SYNTHETIC_UFL_2025_W9_RENEGADES,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,1.0,107.0,8.0,,
SYNTHETIC_UFL_2025_W10_RENEGADES,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,24.0,3.0,,
SYNTHETIC_UFL_2026_W1_DALLASRENEGADES,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,,1.0,144.0,7.0,0.0,5.0
SYNTHETIC_UFL_2026_W2_DALLASRENEGADES,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,3.0,146.0,11.0,0.0,0.0
SYNTHETIC_UFL_2026_W3_DALLASRENEGADES,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,0.0,41.0,5.0,,
SYNTHETIC_UFL_2026_W4_DALLASRENEGADES,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,0.0,59.0,5.0,,
SYNTHETIC_UFL_2026_W5_DALLASRENEGADES,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,,0.0,9.0,1.0,,
SYNTHETIC_UFL_2026_W6_DALLASRENEGADES,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,1.0,39.0,5.0,,
