game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SWKANSAS-NASHVILLE,,,0,,,,0.0,0.0,18.0,,,,1.0,14.0
NASHVILLE-BILLINGS-0609,0609,,13,,NASHVILLE,BILLINGS,,,,0.0,29.0,2.0,,
